
===== mudiban.xlsx =====
-- sheet=2019报价 rows=168
R  4 | 项目内容
R135 | 窗帘盒
R136 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）（700*1500mm）
R137 | 造型天花
R138 | 墙顶面基层加固
R139 | 墙面基层处理（鸟巢腻子）
R140 | 芬琳芬华五合一内墙乳胶漆
R141 [FLOOR_MATCH=['地面保护']] | 地面保护
R142 | 小计
R143 | 儿子房
R144 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R145 | 天花虚光灯槽
R146 | 窗帘盒
R147 | 勾缝处理
R148 | 石膏板平面天花
R149 | 造型天花
R150 | 墙顶面基层加固
R151 | 墙面基层处理（鸟巢腻子）
R152 | 芬琳芬华五合一内墙乳胶漆
R153 [FLOOR_MATCH=['地面保护']] | 地面保护
R154 | 小计
R155 | 主卫
R156 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R157 | 墙面贴瓷片
R158 | 墙面瓷砖刷背胶
R159 | 墙面瓷片碰角加工
R160 | 勾缝处理
R161 | 地面防水处理
R162 | 地面防水保护层
R163 | 墙面防水层
R164 [FLOOR_MATCH=['地面保护']] | 地面保护
R165 | 小计
R166 | 多功能室
R167 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R168 | 天花虚光灯槽
R169 | 窗帘盒
R170 | 勾缝处理
R171 | 造型天花
R172 | 石膏板平面天花
R173 | 墙顶面基层加固
R174 | 墙面基层处理（鸟巢腻子）
R175 | 芬琳芬华五合一内墙乳胶漆
R176 [FLOOR_MATCH=['地面保护']] | 地面保护
R177 | 小计
R178 | 次卫
R179 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R180 | 墙面贴瓷片
R181 | 墙面瓷砖刷背胶
R182 | 墙面瓷片碰角加工
R183 | 勾缝处理
R184 | 地面防水处理
R185 | 地面防水保护层
R186 | 墙面防水层
R187 [FLOOR_MATCH=['地面保护']] | 地面保护
R188 | 小计
R189 | 外花园
R190 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R191 | 围墙墙面贴瓷片
R192 | 墙面瓷砖刷背胶
R193 | 墙面瓷片碰角加工
R194 | 勾缝处理
R195 | 墙面刷外墙漆
R196 | 沉箱架空处理
R197 | 地面自粘防水卷材
R198 | 卷材防水保护层
R199 | 墙面防水层(300MM高）
R200 | 阳台砌花池
R201 | 花池防水处理
R202 [FLOOR_MATCH=['地面保护']] | 地面保护
R203 | 小计
R204 | 四楼
R205 | 过道及楼梯
R206 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）（700*1500mm）
R207 | 造型天花
R208 | 墙顶面基层加固
R209 | 墙面基层处理（鸟巢腻子）
R210 | 芬琳芬华五合一内墙乳胶漆
R211 [FLOOR_MATCH=['地面保护']] | 地面保护
R212 | 小计
R213 | 主卧及衣帽间
R214 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R215 | 天花虚光灯槽
R216 | 窗帘盒
R217 | 勾缝处理
R218 | 石膏板平面天花
R219 | 造型天花
R220 | 墙顶面基层加固
R221 | 墙面基层处理（鸟巢腻子）
R222 | 芬琳芬华五合一内墙乳胶漆
R223 [FLOOR_MATCH=['地面保护']] | 地面保护
R224 | 小计
R225 | 主卫
